"dep_count_per15","arr_count_per15","pb_count_per15","heavy_dep_per15","heavy_arr_per15","dep_demand_per15","dep_taxi_per_window"
11,11,9,4,6,24,15.1
12,11,15,5,4,29,21.8571428571429
12,13,10,2,6,27,19.1111111111111
13,12,9,6,1,23,14.2727272727273
12,10,19,4,2,29,16.2777777777778
12,12,8,4,3,25,16.25
16,10,14,8,5,27,9.46153846153846
13,8,4,6,1,15,7.28571428571429
9,11,15,2,2,18,10.4615384615385
7,12,8,2,3,17,16.125
9,14,10,4,3,20,11.6363636363636
14,12,8,4,0,18,8.42857142857143
8,13,12,1,2,16,11.8333333333333
10,12,12,1,0,20,12
11,8,7,5,1,17,11.5
8,12,11,2,2,17,10.7272727272727
13,9,12,3,4,21,8.33333333333333
16,9,16,2,2,24,9.46666666666667
10,13,10,2,4,18,11.2
10,11,6,2,2,14,8.5
7,14,10,2,3,14,12
9,9,9,2,0,16,13.4
6,13,7,0,3,14,17
7,12,5,3,4,14,16.2
7,17,8,0,7,14,10.1
11,12,9,2,3,16,10.1428571428571
5,12,2,0,2,7,7.5
5,10,3,1,6,6,6.33333333333333
0,17,0,0,7,1,12
2,11,5,1,2,5,12
3,9,2,1,2,5,14.5
2,11,0,1,3,2,0
0,14,2,0,4,2,17
1,13,0,1,4,2,0
1,13,1,1,0,2,13
1,9,3,1,1,4,9.5
5,6,2,3,2,5,7.5
1,4,4,1,3,4,9.75
4,1,3,1,0,6,7.33333333333333
2,3,1,2,0,3,12
2,3,1,1,0,2,11
0,3,2,0,0,2,8.5
2,2,2,1,0,4,14.5
2,0,1,2,0,3,8
1,1,0,0,0,1,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,2,0,0,1,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,2,0,0,2,0,0
0,3,0,0,3,0,0
0,1,0,0,0,0,0
0,1,1,0,0,1,14
1,3,0,0,3,1,0
0,3,0,0,3,0,0
1,1,3,0,1,3,7.66666666666667
7,2,10,0,2,12,6.9
13,0,18,2,0,23,7.94444444444444
16,3,14,3,3,24,7.64285714285714
14,0,14,6,0,22,10.1333333333333
14,0,17,3,0,25,8.58823529411765
18,1,21,4,1,32,12.4347826086957
18,0,23,3,0,37,13.8636363636364
17,2,18,7,0,37,16.7058823529412
22,4,21,7,0,41,12.95
19,3,22,9,1,41,15.25
20,4,15,7,2,38,28.6923076923077
10,8,7,3,3,25,15.2857142857143
11,12,10,2,2,24,21.9
11,8,8,3,1,21,28.625
3,12,5,1,3,15,19.2
8,13,5,3,4,17,23.4285714285714
6,15,14,2,1,23,22.2857142857143
11,13,15,3,4,32,22.7857142857143
11,12,7,5,3,28,23.6666666666667
12,11,6,3,2,23,20
8,13,13,1,6,24,23.8461538461538
11,13,13,3,6,29,15.6875
16,10,17,4,1,35,18.3333333333333
15,7,7,4,4,26,17.8333333333333
15,11,12,5,5,23,9
11,13,11,1,3,20,12.0833333333333
11,10,8,1,5,17,8.44444444444444
9,9,13,4,5,18,11.7857142857143
14,9,14,7,0,23,15.6363636363636
10,12,16,4,4,25,16.6666666666667
11,12,8,4,4,23,18.1666666666667
10,11,9,5,3,21,14.0909090909091
10,10,8,4,3,19,10.4285714285714
12,11,17,1,0,27,13.3888888888889
14,10,8,5,5,22,14.5
10,8,13,5,3,21,11.7692307692308
9,9,11,2,5,23,22.3333333333333
9,13,10,7,4,24,15.7
10,13,10,4,6,24,15.4
15,11,8,3,3,22,15.875
10,11,11,1,8,19,13.0909090909091
8,12,8,3,3,16,12.875
13,12,15,2,3,24,13.8571428571429
12,11,10,7,3,21,11.75
10,10,13,3,3,21,16.6363636363636
9,14,8,4,4,19,14.625
9,15,8,2,4,18,14.125
10,11,9,4,4,18,16
10,12,13,5,3,21,14.0769230769231
9,15,5,2,3,16,14.25
11,12,13,5,2,20,12.6
11,13,13,1,1,22,16.7692307692308
10,8,11,4,2,22,14.2222222222222
12,11,9,2,1,21,10.2222222222222
15,9,17,7,2,26,9.41176470588235
17,7,14,5,2,25,8.33333333333333
13,11,13,1,5,22,9.25
10,13,7,3,1,16,10.875
7,14,10,1,5,15,16.4
7,12,7,1,1,15,10.6666666666667
9,10,2,1,0,10,8
5,10,7,1,3,8,10.4285714285714
3,14,11,1,8,15,15.0909090909091
10,15,7,3,3,18,12.1428571428571
8,9,3,0,1,11,7.33333333333333
3,11,3,1,5,6,15.6666666666667
5,11,4,0,6,7,10.25
3,13,7,2,4,9,13.5714285714286
6,12,0,1,3,6,0
0,14,0,0,6,0,0
3,13,1,0,5,1,9
2,14,1,2,2,2,12
1,16,3,0,2,3,15.6666666666667
2,12,2,1,4,4,8.66666666666667
4,14,2,2,5,4,9
1,2,2,0,2,2,10
1,3,3,1,1,4,14.3333333333333
3,3,1,3,0,4,7
2,5,2,2,1,3,7.5
2,1,1,2,1,2,5
1,3,2,1,0,2,9.5
1,1,0,1,0,1,0
0,0,1,0,0,1,7
1,0,1,0,0,2,9
1,1,0,1,0,1,0
0,0,1,0,0,1,10
1,1,0,0,1,1,0
0,2,0,0,0,0,0
0,2,0,0,0,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,2,1,0,2,1,12
1,1,1,1,1,2,15.5
2,3,1,0,2,2,0
0,2,1,0,2,1,9
1,4,3,0,2,4,8
4,2,7,0,1,10,19
12,0,15,1,0,21,18.5
6,3,12,3,3,21,19.3333333333333
12,1,18,2,1,33,23.5
13,1,10,3,0,31,16.3
13,1,19,1,0,37,32.1666666666667
8,2,15,2,1,39,40.75
11,3,15,3,2,46,49.7142857142857
13,1,16,6,1,51,36.5882352941176
14,3,14,2,1,52,54.9333333333333
15,4,20,4,1,58,59.5
11,9,9,3,1,52,79.875
10,9,7,2,1,48,47.3333333333333
6,10,8,3,3,46,66.875
8,8,6,2,2,46,48.8571428571429
12,7,10,7,1,48,71.2
10,12,6,3,2,42,28.6666666666667
8,10,13,3,2,45,68.8333333333333
10,13,8,4,4,45,40.375
12,10,11,7,2,46,39.1818181818182
9,9,5,4,2,39,48
10,10,12,4,5,43,62.3
9,10,7,2,2,40,58.125
4,10,7,1,3,38,54.2857142857143
8,10,13,3,3,47,57.6153846153846
10,11,13,4,4,52,57.3846153846154
14,9,12,3,5,53,43.6666666666667
17,6,18,3,3,58,61
7,12,13,2,2,54,49.75
8,9,8,2,0,55,56.6666666666667
13,9,14,4,1,61,25.2307692307692
15,8,12,3,4,60,43.25
17,7,13,6,3,57,46.2666666666667
12,10,14,4,5,54,38.9166666666667
14,12,5,6,4,47,42.6666666666667
16,9,8,6,6,41,34.375
14,11,15,6,5,40,25.5714285714286
16,11,12,8,2,38,17.0769230769231
13,11,10,4,7,32,15.7777777777778
13,13,8,2,6,27,18
11,11,10,5,2,24,19.3
8,11,13,3,5,28,20.7272727272727
13,12,12,4,5,31,17.25
16,9,9,5,1,26,11.7
15,6,11,9,1,21,11.3
7,14,7,1,4,13,11.7142857142857
9,15,13,4,5,20,13.3846153846154
10,12,14,2,1,24,17.5333333333333
11,11,9,5,2,24,19
8,11,3,3,2,15,13.2
12,13,14,2,4,21,11.3846153846154
13,13,15,2,3,24,13.1333333333333
13,12,11,1,4,22,10.8888888888889
11,9,7,3,2,16,8
7,9,9,3,1,14,9.54545454545454
13,10,15,3,3,22,9.13333333333333
14,6,12,2,1,21,11.4545454545455
7,10,13,0,0,20,16.9230769230769
11,11,8,6,2,21,14.4285714285714
11,11,6,4,0,16,10.5714285714286
7,10,5,1,0,10,14.6666666666667
3,11,9,2,2,12,21.7142857142857
