"dep_count_per15","arr_count_per15","pb_count_per15","heavy_dep_per15","heavy_arr_per15","dep_demand_per15"
6,2,11,0,1,14
13,1,16,1,1,24
13,1,12,4,1,23
14,1,13,3,1,23
16,2,17,2,2,26
18,0,22,3,0,32
18,2,20,6,1,34
18,3,15,6,1,31
18,3,19,7,0,32
18,4,16,8,3,30
16,5,22,8,0,34
16,5,11,3,1,29
11,9,8,4,0,21
13,9,8,5,2,18
7,10,7,4,3,12
4,10,8,2,2,13
7,11,14,2,2,23
12,12,7,2,1,24
13,10,12,1,3,23
9,13,11,2,3,21
12,10,11,3,3,23
12,10,10,2,3,21
13,9,15,5,5,24
10,10,8,4,3,19
11,9,11,3,1,21
10,12,9,2,4,18
10,9,13,1,3,21
14,5,9,5,2,20
7,12,10,1,4,16
9,12,17,4,5,27
8,13,11,3,1,29
11,10,6,5,1,26
12,8,6,5,3,21
12,10,9,3,5,18
9,13,13,5,6,19
7,12,7,3,4,18
8,13,11,3,6,22
8,11,9,3,7,23
11,13,8,4,5,22
11,13,11,5,5,22
11,12,11,3,4,22
11,11,7,4,2,18
9,11,14,3,3,22
11,8,13,4,2,27
19,6,12,3,2,26
10,10,9,5,2,16
9,11,8,4,1,14
8,9,8,2,2,13
7,9,9,1,3,14
6,13,7,2,3,14
6,15,13,1,1,21
10,13,8,3,1,23
13,8,7,2,4,20
9,10,5,2,3,12
6,11,15,2,2,18
16,9,14,5,3,26
13,10,9,1,4,19
8,12,7,3,2,13
5,13,8,3,2,13
9,10,10,1,2,18
9,12,4,2,3,13
9,8,9,2,4,13
7,13,11,2,4,15
6,14,7,0,4,15
7,15,2,0,6,11
5,13,1,0,4,5
0,12,4,0,4,4
5,10,1,1,2,5
1,10,2,1,2,2
1,13,0,0,4,1
0,14,0,0,1,0
2,11,3,2,3,3
1,11,1,0,3,2
2,9,2,1,1,3
1,5,0,1,2,1
1,1,3,0,1,3
1,3,2,1,1,4
