"dep_count_per15","arr_count_per15","pb_count_per15","heavy_dep_per15","heavy_arr_per15","dep_demand_per15"
4,2,2,4,2,5
1,1,0,1,0,1
0,0,1,0,0,1
2,0,1,2,0,2
0,0,2,0,0,2
2,0,0,0,0,2
0,0,0,0,0,0
0,0,0,0,0,0
0,1,1,0,0,1
1,1,0,1,1,1
0,2,0,0,0,0
0,1,0,0,1,0
0,0,1,0,0,1
1,0,0,0,0,1
0,3,0,0,3,0
0,2,0,0,1,0
0,1,0,0,1,0
1,2,1,1,1,1
0,2,2,0,2,2
5,1,6,0,1,8
12,0,19,1,0,22
13,1,15,4,1,25
14,0,12,2,0,24
15,2,18,1,1,28
18,0,22,4,0,35
20,1,19,6,1,36
16,0,14,8,0,30
18,3,15,6,0,29
16,4,26,5,1,37
18,6,17,10,0,38
16,5,5,3,2,25
12,11,10,3,0,19
10,10,8,4,3,15
2,12,5,2,4,10
6,12,9,3,1,17
6,13,8,2,1,19
13,12,14,2,2,27
16,8,8,3,2,22
8,10,11,1,2,17
8,14,12,2,4,21
15,9,14,2,4,27
12,10,8,3,3,20
8,12,6,2,5,14
11,12,9,4,3,15
8,9,10,2,4,14
9,9,10,1,2,16
11,9,14,6,1,21
10,10,16,4,4,26
13,10,15,6,5,32
12,11,9,6,4,28
12,8,10,4,1,25
10,12,6,5,3,19
13,13,13,4,2,22
11,7,7,5,2,16
8,10,7,2,4,12
8,13,14,1,4,20
10,13,14,5,7,25
7,14,11,3,4,25
9,13,9,4,5,27
15,12,7,2,2,25
7,14,9,0,4,19
6,14,14,3,5,27
16,7,11,7,2,33
17,6,16,5,1,32
14,9,9,6,3,23
10,11,14,3,6,23
9,11,10,1,1,23
12,13,8,0,3,22
7,14,5,4,1,15
11,13,12,3,3,20
11,9,10,2,1,19
11,8,8,2,1,16
9,10,10,3,1,15
7,11,20,2,3,26
14,11,13,4,2,32
14,10,5,2,5,24
9,15,6,2,2,16
4,15,6,0,3,12
10,8,13,1,2,21
12,4,2,5,0,13
3,13,7,0,6,8
9,14,11,2,4,16
5,14,3,0,4,10
3,14,2,1,4,7
3,17,1,0,4,5
1,17,6,0,6,8
7,14,4,2,6,11
6,9,3,2,3,7
1,15,0,0,5,1
1,14,2,1,2,2
2,14,1,1,2,2
1,12,2,0,4,2
1,6,2,0,2,3
2,0,1,2,0,3
2,3,2,0,0,3
1,4,3,1,1,4
3,3,1,3,1,4
3,2,3,3,0,4
2,0,1,2,0,2
0,1,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,1,0,0,1
1,1,0,1,1,1
0,1,1,0,0,1
1,0,0,0,0,1
0,2,0,0,2,0
0,1,0,0,1,0
0,0,0,0,0,0
0,1,0,0,1,0
0,4,0,0,4,0
0,1,3,0,1,3
8,2,12,0,2,15
14,1,14,2,1,21
11,2,13,3,1,20
18,1,20,4,1,29
18,0,17,5,0,28
18,1,22,2,0,32
21,2,23,7,1,37
18,0,16,6,0,32
16,3,17,6,0,31
18,5,23,9,1,38
18,2,17,6,0,37
20,6,9,6,1,28
13,9,10,6,4,19
6,12,7,2,3,13
9,11,8,1,0,14
6,14,7,3,1,12
5,18,7,1,7,13
7,12,12,0,3,20
12,12,15,3,1,28
15,10,10,3,2,26
12,10,13,3,3,24
13,9,9,2,3,21
14,10,10,4,4,18
9,11,12,2,3,16
11,12,11,3,3,18
11,13,13,3,6,20
10,9,8,2,2,17
10,8,12,4,2,19
10,11,15,3,3,24
13,12,18,3,6,33
11,12,9,3,4,29
10,10,7,6,5,24
14,11,9,8,5,23
12,10,7,1,5,17
8,11,10,3,2,15
5,14,10,4,5,17
9,14,13,3,6,24
10,14,10,5,5,25
11,11,9,4,6,24
12,11,15,5,4,29
12,13,10,2,6,27
13,12,9,6,1,23
12,10,19,4,2,29
12,12,8,4,3,25
16,10,14,8,5,27
13,8,4,6,1,15
9,11,15,2,2,18
7,12,8,2,3,17
9,14,10,4,3,20
14,12,8,4,0,18
8,13,12,1,2,16
10,12,12,1,0,20
11,8,7,5,1,17
8,12,11,2,2,17
13,9,12,3,4,21
16,9,16,2,2,24
10,13,10,2,4,18
10,11,6,2,2,14
7,14,10,2,3,14
9,9,9,2,0,16
6,13,7,0,3,14
7,12,5,3,4,14
7,17,8,0,7,14
11,12,9,2,3,16
5,12,2,0,2,7
5,10,3,1,6,6
0,17,0,0,7,1
2,11,5,1,2,5
3,9,2,1,2,5
2,11,0,1,3,2
0,14,2,0,4,2
1,13,0,1,4,2
1,13,1,1,0,2
1,9,3,1,1,4
5,6,2,3,2,5
1,4,4,1,3,4
4,1,3,1,0,6
2,3,1,2,0,3
2,3,1,1,0,2
0,3,2,0,0,2
2,2,2,1,0,4
2,0,1,2,0,3
1,1,0,0,0,1
0,0,0,0,0,0
0,1,0,0,0,0
0,2,0,0,1,0
0,0,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,2,0,0,2,0
0,3,0,0,3,0
0,1,0,0,0,0
0,1,1,0,0,1
1,3,0,0,3,1
0,3,0,0,3,0
1,1,3,0,1,3
7,2,10,0,2,12
13,0,18,2,0,23
16,3,14,3,3,24
14,0,14,6,0,22
14,0,17,3,0,25
18,1,21,4,1,32
18,0,23,3,0,37
17,2,18,7,0,37
22,4,21,7,0,41
19,3,22,9,1,41
20,4,15,7,2,38
10,8,7,3,3,25
11,12,10,2,2,24
11,8,8,3,1,21
3,12,5,1,3,15
8,13,5,3,4,17
6,15,14,2,1,23
11,13,15,3,4,32
11,12,7,5,3,28
12,11,6,3,2,23
8,13,13,1,6,24
11,13,13,3,6,29
16,10,17,4,1,35
15,7,7,4,4,26
15,11,12,5,5,23
11,13,11,1,3,20
11,10,8,1,5,17
9,9,13,4,5,18
14,9,14,7,0,23
10,12,16,4,4,25
11,12,8,4,4,23
10,11,9,5,3,21
10,10,8,4,3,19
12,11,17,1,0,27
14,10,8,5,5,22
10,8,13,5,3,21
9,9,11,2,5,23
9,13,10,7,4,24
10,13,10,4,6,24
15,11,8,3,3,22
10,11,11,1,8,19
8,12,8,3,3,16
13,12,15,2,3,24
12,11,10,7,3,21
10,10,13,3,3,21
9,14,8,4,4,19
9,15,8,2,4,18
10,11,9,4,4,18
10,12,13,5,3,21
9,15,5,2,3,16
11,12,13,5,2,20
11,13,13,1,1,22
10,8,11,4,2,22
12,11,9,2,1,21
15,9,17,7,2,26
17,7,14,5,2,25
13,11,13,1,5,22
10,13,7,3,1,16
7,14,10,1,5,15
7,12,7,1,1,15
9,10,2,1,0,10
5,10,7,1,3,8
3,14,11,1,8,15
10,15,7,3,3,18
8,9,3,0,1,11
3,11,3,1,5,6
5,11,4,0,6,7
3,13,7,2,4,9
6,12,0,1,3,6
0,14,0,0,6,0
3,13,1,0,5,1
2,14,1,2,2,2
1,16,3,0,2,3
2,12,2,1,4,4
4,14,2,2,5,4
1,2,2,0,2,2
1,3,3,1,1,4
3,3,1,3,0,4
2,5,2,2,1,3
2,1,1,2,1,2
1,3,2,1,0,2
1,1,0,1,0,1
0,0,1,0,0,1
1,0,1,0,0,2
1,1,0,1,0,1
0,0,1,0,0,1
1,1,0,0,1,1
0,2,0,0,0,0
0,2,0,0,0,0
0,1,0,0,1,0
0,1,0,0,1,0
0,2,1,0,2,1
1,1,1,1,1,2
2,3,1,0,2,2
0,2,1,0,2,1
1,4,3,0,2,4
4,2,7,0,1,10
12,0,15,1,0,21
6,3,12,3,3,21
12,1,18,2,1,33
13,1,10,3,0,31
13,1,19,1,0,37
8,2,15,2,1,39
11,3,15,3,2,46
13,1,16,6,1,51
14,3,14,2,1,52
15,4,20,4,1,58
11,9,9,3,1,52
10,9,7,2,1,48
6,10,8,3,3,46
8,8,6,2,2,46
12,7,10,7,1,48
10,12,6,3,2,42
8,10,13,3,2,45
10,13,8,4,4,45
12,10,11,7,2,46
9,9,5,4,2,39
10,10,12,4,5,43
9,10,7,2,2,40
4,10,7,1,3,38
8,10,13,3,3,47
10,11,13,4,4,52
14,9,12,3,5,53
17,6,18,3,3,58
7,12,13,2,2,54
8,9,8,2,0,55
13,9,14,4,1,61
15,8,12,3,4,60
17,7,13,6,3,57
12,10,14,4,5,54
14,12,5,6,4,47
16,9,8,6,6,41
14,11,15,6,5,40
16,11,12,8,2,38
13,11,10,4,7,32
13,13,8,2,6,27
11,11,10,5,2,24
8,11,13,3,5,28
13,12,12,4,5,31
16,9,9,5,1,26
15,6,11,9,1,21
7,14,7,1,4,13
9,15,13,4,5,20
10,12,14,2,1,24
11,11,9,5,2,24
8,11,3,3,2,15
12,13,14,2,4,21
13,13,15,2,3,24
13,12,11,1,4,22
11,9,7,3,2,16
7,9,9,3,1,14
13,10,15,3,3,22
14,6,12,2,1,21
7,10,13,0,0,20
11,11,8,6,2,21
11,11,6,4,0,16
7,10,5,1,0,10
3,11,9,2,2,12
6,13,6,0,5,15
5,12,4,1,1,13
4,13,5,1,3,13
6,14,2,0,5,11
1,12,0,1,6,5
0,11,0,0,2,4
1,9,0,1,0,4
1,11,1,0,7,4
1,12,3,0,6,6
0,14,2,0,4,5
3,12,4,1,3,9
8,13,1,1,1,10
4,14,8,0,3,12
7,12,5,2,7,12
6,10,4,4,3,9
5,5,5,3,3,8
3,6,3,1,1,6
5,8,4,2,1,7
5,5,4,2,1,6
2,1,4,0,1,5
3,4,2,2,0,5
2,2,1,2,1,3
1,1,1,1,0,2
2,0,1,1,0,2
0,1,0,0,1,0
0,1,0,0,1,0
0,4,0,0,2,0
1,1,2,1,0,2
1,0,0,1,0,1
0,1,1,0,1,1
1,4,0,0,3,1
0,1,1,0,1,1
1,3,0,1,3,1
0,3,1,0,3,1
1,0,2,0,0,3
1,2,17,0,2,19
6,2,9,0,2,27
8,1,16,0,1,37
9,0,22,1,0,51
13,1,16,4,1,58
14,0,12,2,0,57
14,4,16,2,1,59
14,4,11,4,2,56
11,5,16,2,0,58
16,3,12,7,1,59
8,9,6,4,2,49
16,6,15,4,0,56
17,9,15,5,2,55
16,9,13,5,1,51
15,13,13,3,3,48
10,13,11,4,4,44
9,15,10,3,1,44
18,10,13,6,1,48
17,9,15,3,1,45
17,10,12,3,3,40
17,9,16,7,4,39
18,10,12,3,4,34
12,9,11,4,2,27
12,5,10,5,3,25
12,13,13,3,4,26
9,15,10,3,6,24
18,8,12,2,1,27
12,7,13,1,2,22
11,10,11,5,3,21
13,9,11,5,1,21
11,9,11,6,4,20
9,12,12,7,3,20
12,8,10,3,1,21
10,11,5,3,3,14
8,12,12,2,3,16
9,14,13,2,5,21
5,15,14,2,3,26
11,14,13,6,5,34
13,11,10,3,3,33
11,12,5,3,4,26
9,12,13,2,5,29
10,12,17,0,4,35
10,11,12,4,3,37
10,11,7,3,4,34
9,15,12,3,3,36
12,13,11,2,5,39
11,13,8,4,8,35
13,10,6,5,1,31
10,13,9,3,2,27
4,17,13,2,4,29
9,14,14,3,2,38
15,10,9,4,0,38
12,14,10,3,2,33
13,10,11,5,2,32
13,12,18,6,2,37
13,10,16,2,2,40
13,9,13,3,1,40
8,11,12,2,3,39
14,11,9,5,4,40
19,7,9,2,1,35
14,8,6,3,1,22
5,15,7,1,5,16
9,14,5,1,4,16
7,11,9,0,3,16
4,15,1,0,5,9
5,15,6,1,4,11
2,10,2,1,4,8
2,7,3,1,1,9
4,12,2,0,5,9
2,15,2,1,2,7
2,14,1,2,4,3
1,11,0,0,2,1
1,14,5,0,2,5
1,13,1,1,5,5
2,11,3,1,3,7
1,7,2,0,2,7
5,5,3,5,2,9
5,4,6,3,0,10
5,1,0,5,0,5
0,1,4,0,0,4
5,1,3,2,0,7
2,1,0,0,1,2
0,2,0,0,1,0
0,0,0,0,0,0
0,1,0,0,1,0
0,1,0,0,1,0
0,0,0,0,0,0
0,1,0,0,0,0
0,1,0,0,1,0
0,2,0,0,1,0
0,2,0,0,2,0
0,3,1,0,3,1
1,1,0,1,1,1
1,1,1,0,1,1
0,2,3,0,1,3
7,4,13,2,2,16
14,2,13,0,2,22
14,0,16,3,0,24
16,2,14,4,2,24
14,3,13,2,1,21
16,1,26,3,0,33
19,1,14,4,1,31
16,1,18,4,0,30
15,5,21,3,1,35
21,4,20,7,0,40
18,4,19,7,1,38
13,9,6,4,1,26
13,8,13,5,2,26
12,11,8,5,3,21
7,9,3,4,2,12
6,10,11,3,1,16
7,12,8,0,3,18
7,11,16,2,3,27
11,7,6,2,1,26
6,13,6,1,1,21
11,12,9,3,3,24
11,11,9,2,5,22
8,14,16,1,4,27
12,9,7,4,2,26
13,6,9,3,3,23
14,10,16,3,4,26
13,13,12,1,6,24
13,10,13,8,3,24
13,7,16,5,3,27
9,14,14,3,3,29
11,13,5,5,2,25
15,6,13,6,3,26
12,11,9,7,4,20
10,10,11,3,2,20
13,11,10,4,3,20
9,11,8,4,1,14
8,13,12,2,5,17
8,16,9,3,5,19
10,14,13,6,7,24
10,15,7,3,7,21
12,15,11,3,4,21
13,8,10,2,2,19
8,13,10,2,3,17
12,8,13,3,1,22
12,12,16,7,4,25
14,12,7,4,3,20
10,13,13,4,3,19
8,13,7,3,2,16
8,15,11,3,3,19
10,14,8,3,3,19
9,14,11,2,1,20
8,16,9,1,2,20
11,13,12,3,2,25
11,10,10,4,1,24
13,9,12,3,2,24
14,9,19,4,3,30
13,10,14,2,4,30
15,12,10,3,2,28
6,14,11,0,4,24
12,10,7,4,2,24
11,6,4,2,0,16
9,9,9,2,3,14
6,17,6,2,5,11
6,13,11,2,2,17
7,16,4,1,9,15
8,10,3,1,4,10
2,15,3,0,5,5
4,14,2,1,3,5
2,12,2,2,2,3
2,15,3,0,4,4
0,13,1,0,2,3
3,14,4,2,3,5
1,13,3,0,3,5
5,7,1,2,3,5
2,5,3,2,0,3
2,4,3,1,2,4
2,3,2,0,0,4
1,4,3,1,2,5
2,6,0,2,1,4
2,2,2,2,0,4
3,0,2,2,0,4
1,3,1,0,2,2
1,1,1,0,1,2
1,4,0,0,1,1
0,3,0,0,2,0
0,0,0,0,0,0
0,1,2,0,1,2
3,0,1,0,0,3
0,1,0,0,1,0
1,2,1,0,1,1
0,5,0,0,3,0
0,2,1,0,1,1
1,2,0,0,1,1
1,1,2,1,0,2
1,0,2,1,0,3
2,4,1,0,2,3
5,4,15,0,3,16
19,1,20,1,1,31
17,3,17,4,3,29
14,1,17,2,1,29
17,2,15,3,1,30
14,0,21,1,0,34
19,1,19,4,1,39
18,2,18,8,1,38
19,6,16,4,1,36
18,4,24,8,1,42
13,4,15,5,0,39
13,7,11,5,3,37
13,10,7,2,1,30
11,9,13,3,2,30
8,13,3,6,4,22
8,13,8,4,4,22
9,12,8,3,0,22
10,11,14,3,1,27
10,12,9,1,1,26
8,16,10,0,4,26
7,17,10,2,6,28
7,13,9,4,5,30
14,11,10,3,4,33
12,9,10,3,4,29
14,12,17,4,3,34
14,10,11,3,5,31
14,12,11,4,3,28
17,5,15,5,1,29
12,10,14,4,2,26
13,12,14,8,5,28
14,11,10,7,5,26
10,9,7,4,3,18
12,11,12,3,3,20
12,10,7,3,3,16
7,8,10,2,2,14
8,11,10,3,4,16
7,12,9,3,3,18
10,14,17,3,7,27
9,14,11,6,7,28
11,12,9,3,3,29
13,13,12,4,3,30
12,13,10,4,2,26
11,10,11,3,4,25
15,9,11,4,1,26
15,9,14,6,4,24
8,17,8,3,7,17
10,14,13,3,2,22
11,10,9,1,0,21
8,12,11,2,5,21
9,13,12,2,2,25
7,14,8,1,3,24
18,8,17,5,0,34
14,7,6,3,1,22
11,10,6,3,1,14
10,9,17,4,2,20
13,10,14,2,4,24
14,10,11,3,0,22
8,13,10,0,6,19
10,9,5,3,3,15
8,10,11,1,3,16
8,7,10,2,0,18
7,13,3,0,4,13
6,13,8,2,4,15
9,17,4,0,5,13
3,16,3,0,5,6
4,15,1,1,5,4
1,17,6,0,5,6
5,11,2,1,1,7
4,12,3,1,3,5
1,13,0,0,3,1
0,13,2,0,3,2
2,12,2,1,4,4
2,12,2,2,1,4
3,9,2,1,1,4
1,7,1,1,3,2
1,5,3,1,0,4
3,4,2,1,1,5
4,4,6,3,1,8
4,1,0,3,1,4
0,0,3,0,0,3
3,0,1,1,0,4
1,1,1,0,0,2
1,1,0,0,0,1
1,1,1,0,0,1
0,0,2,0,0,2
1,0,0,1,0,2
1,3,0,1,1,1
0,1,0,0,0,0
0,1,0,0,1,0
0,3,0,0,1,0
0,3,0,0,2,0
1,0,2,0,0,2
1,4,0,0,2,1
0,0,1,0,0,1
1,3,1,0,1,2
1,5,1,1,4,2
5,3,13,0,2,14
15,2,13,1,2,22
13,0,14,4,0,21
12,2,16,2,2,24
17,2,19,3,0,31
16,3,24,2,1,38
21,1,17,5,1,39
18,1,16,8,0,34
17,5,20,5,1,36
15,5,22,4,0,43
17,6,14,10,3,42
12,7,10,3,1,35
19,6,9,4,0,31
10,11,8,6,3,19
6,14,8,3,3,17
12,12,8,4,1,19
6,14,9,1,4,16
6,13,12,1,2,22
12,11,11,3,3,27
13,11,5,3,2,20
6,13,13,1,4,20
14,10,8,5,4,22
10,10,12,1,2,20
7,12,10,5,5,20
9,13,10,1,4,23
13,9,10,2,4,25
9,10,9,3,2,20
10,9,11,3,5,22
14,8,19,3,1,31
13,11,14,7,3,32
12,14,11,4,3,30
9,10,4,5,5,22
9,10,11,3,5,24
13,10,13,4,2,28
14,10,11,5,4,25
14,8,10,6,3,21
8,11,10,4,4,17
6,16,15,3,2,25
7,12,7,2,10,26
9,15,13,3,7,32
13,13,11,2,1,34
11,14,10,2,4,30
13,11,13,3,2,32
12,12,10,2,4,30
15,10,15,6,3,32
14,10,8,5,3,25
12,11,13,5,3,24
7,10,8,0,3,20
14,11,15,2,3,28
11,12,3,6,2,17
11,11,18,3,2,24
11,14,11,2,2,24
14,9,8,4,1,21
6,9,7,1,2,14
12,11,14,3,4,22
9,11,15,4,3,25
15,10,12,2,3,28
15,8,5,2,2,18
4,12,6,1,1,9
8,12,10,2,5,15
8,13,7,2,1,14
7,8,5,1,2,11
5,14,9,0,2,13
6,15,5,0,7,13
6,14,3,0,5,11
5,13,2,1,5,6
2,17,4,0,7,5
5,15,5,0,4,8
4,10,1,2,2,4
0,12,0,0,2,0
2,12,3,1,1,3
4,15,6,3,4,8
4,13,2,0,2,7
2,12,1,2,1,4
1,5,0,1,0,2
2,2,3,2,1,3
1,1,2,0,1,3
4,3,3,3,1,5
3,2,2,2,1,3
0,0,0,0,0,0
2,2,2,1,0,2
0,1,0,0,0,0
0,0,2,0,0,2
2,0,0,1,0,2
0,1,0,0,0,0
0,0,1,0,0,1
1,3,0,0,1,1
0,0,0,0,0,0
1,5,2,0,1,2
2,1,1,0,0,2
1,2,1,0,2,1
0,0,0,0,0,0
0,2,2,0,2,2
2,0,0,1,0,2
0,5,0,0,3,0
0,3,3,0,2,3
7,0,10,0,0,13
15,3,18,0,3,24
13,0,13,3,0,22
16,0,18,3,0,27
17,3,20,4,0,31
18,2,23,4,1,37
19,2,19,6,1,38
16,1,15,5,0,34
19,5,20,7,1,38
21,6,21,8,0,40
20,4,19,9,1,38
17,5,9,5,0,27
14,11,11,4,1,21
7,13,7,3,3,14
9,8,5,3,1,12
4,14,8,2,3,11
9,13,14,0,0,21
10,13,9,1,5,21
11,12,10,3,3,21
10,12,9,1,4,19
11,13,13,5,2,22
12,8,11,3,4,22
14,12,13,1,6,23
9,10,8,3,3,17
14,8,12,6,1,20
9,10,7,1,3,13
8,11,15,2,4,19
16,9,14,6,5,25
12,9,14,3,3,23
10,12,12,4,4,24
9,13,11,5,4,24
13,12,4,5,4,19
11,8,11,5,1,17
11,11,13,4,5,19
11,12,6,4,5,14
6,10,13,3,3,16
10,12,11,3,3,21
8,15,10,5,7,23
11,14,10,5,4,24
9,14,7,4,5,19
7,12,14,1,4,24
12,11,11,3,3,28
11,11,16,4,3,32
12,11,10,5,1,31
14,10,11,6,4,31
10,10,8,3,3,25
16,11,13,6,5,28
10,13,9,2,3,20
12,14,10,3,3,20
9,14,9,1,3,17
9,14,11,2,1,19
10,8,14,3,1,24
14,6,6,4,1,20
8,11,10,3,3,16
12,10,18,3,3,26
17,9,15,3,1,29
14,9,8,2,1,20
8,15,8,1,4,15
7,14,6,2,3,12
2,10,8,0,2,13
12,8,9,1,2,20
