"X","航班号","起飞机场","目的机场","rwy","ramp","pb_time","s_dep_time","a_dep_time","所走航路","mission_full_date","time_pushback","time_takeoff_real","dep_taxi","mission_month","mission_date","dep_may_15_per_dep","arr_may_15_per_dep","dep_may_60_per_dep","arr_may_60_per_dep","pb_may_15_per_dep","pb_may_60_per_dep"
87109,"CCA169","ZBAA","RJCC","1",7,800,800,807,"LAD8E",20140518,480,487,7,5,18,22,1,75,11,18,64
87110,"CSN6657","ZBAA","ZYHB","36R",17,743,735,806,"YV8AR",20140518,463,486,23,5,18,22,1,75,11,18,64
87111,"CBJ5553","ZBAA","ZBHH","36L",27,754,735,805,"SOS8AL",20140518,474,485,11,5,18,22,1,75,11,18,64
87112,"CCA4125","ZBAA","ZULS","36R",3,750,740,812,"SOS8BR",20140518,470,492,22,5,18,22,1,75,11,18,64
87113,"CCA1835","ZBAA","ZSPD","1",1,807,805,812,"LAD8E",20140518,487,492,5,5,18,22,1,75,11,18,64
87114,"CHH7382","ZBAA","ZJHK","36L",24,757,800,809,"REN8AL",20140518,477,489,12,5,18,22,1,75,11,18,64
87115,"HDA937","ZBAA","VHHH","1",9,758,740,809,"REN8E",20140518,478,489,11,5,18,22,1,75,11,18,64
87116,"CSN3286","ZBAA","ZGNN","36L",16,758,750,811,"REN8AL",20140518,478,491,13,5,18,22,1,75,11,18,64
87117,"CCA1147","ZBAA","ZBYZ","36R",5,748,750,809,"SOS8BR",20140518,468,489,21,5,18,22,1,75,11,18,64
87118,"CCA1351","ZBAA","ZGGG","1",1,811,805,816,"REN8E",20140518,491,496,5,5,18,19,5,75,11,18,64
87119,"CCA1509","ZBAA","ZSHC","1",1,800,800,805,"LAD8E",20140518,480,485,5,5,18,22,1,75,11,18,64
87120,"CHH7771","ZBAA","ZSAM","36R",24,739,740,757,"LAD8AR",20140518,459,477,18,5,18,22,1,61,6,25,74
87121,"CCA1495","ZBAA","ZUZY","36R",2,739,740,801,"SOS8BR",20140518,459,481,22,5,18,22,1,75,11,18,64
87122,"CHH7137","ZBAA","ZLXY","36L",25,752,745,758,"SOS8AL",20140518,472,478,6,5,18,22,1,61,6,25,74
87123,"CSN3994","ZBAA","ZUTR","36L",17,754,745,759,"REN8AL",20140518,474,479,5,5,18,22,1,61,6,25,74
87124,"CCA1831","ZBAA","ZSSS","1",5,756,730,801,"LAD8E",20140518,476,481,5,5,18,22,1,75,11,18,64
87125,"CHH7147","ZBAA","ZUUU","36L",26,756,750,802,"SOS8AL",20140518,476,482,6,5,18,22,1,75,11,18,64
87126,"CHH7109","ZBAA","ZHYC","36L",25,756,755,804,"REN8AL",20140518,476,484,8,5,18,22,1,75,11,18,64
87127,"CCA1659","ZBAA","ZYQQ","1",2,800,755,804,"YV8C",20140518,480,484,4,5,18,22,1,75,11,18,64
87128,"CSN6116","ZBAA","ZYTX","36R",15,751,740,803,"CDY8AR",20140518,471,483,12,5,18,22,1,75,11,18,64
87129,"CSC8838","ZBAA","ZUWX","36R",3,746,745,802,"SOS8BR",20140518,466,482,16,5,18,22,1,75,11,18,64
87130,"CHH7198","ZBAA","ZSNB","36R",27,737,735,807,"LAD8AR",20140518,457,487,30,5,18,22,1,75,11,18,64
87131,"CBJ800","ZBAA","LLBG","36R",13,753,800,759,"SOS8BR",20140518,473,479,6,5,18,22,1,61,6,25,74
87132,"CSH9158","ZBAA","ZSHC","36R",15,739,725,751,"LAD8AR",20140518,459,471,12,5,18,22,1,61,6,25,74
87133,"CCA1877","ZBAA","ZGZJ","36L",3,735,730,752,"REN8AL",20140518,455,472,17,5,18,22,1,61,6,25,74
87134,"CCA1469","ZBAA","ZPLJ","36R",6,736,735,750,"SOS8BR",20140518,456,470,14,5,18,22,1,61,6,25,74
87135,"CCA1505","ZBAA","ZSFZ","1",2,748,745,751,"LAD8E",20140518,468,471,3,5,18,22,1,61,6,25,74
87136,"CHH7189","ZBAA","ZUGY","36L",26,746,745,753,"SOS8AL",20140518,466,473,7,5,18,22,1,61,6,25,74
87137,"CHH7245","ZBAA","ZWWW","36L",25,746,740,756,"SOS8AL",20140518,466,476,10,5,18,22,1,61,6,25,74
87138,"CES5183","ZBAA","ZSPD","36R",21,740,735,755,"LAD8AR",20140518,460,475,15,5,18,22,1,61,6,25,74
87139,"CCA1231","ZBAA","ZLXY","36R",3,743,740,753,"SOS8BR",20140518,463,473,10,5,18,22,1,61,6,25,74
87140,"CSN3740","ZBAA","ZGSD","36L",21,742,745,755,"REN8AL",20140518,462,475,13,5,18,22,1,61,6,25,74
87141,"CCA1569","ZBAA","ZSQD","1",2,751,745,755,"LAD8E",20140518,471,475,4,5,18,22,1,61,6,25,74
87142,"CCA1609","ZBAA","ZYCC","1",2,750,750,754,"YV8C",20140518,470,474,4,5,18,22,1,61,6,25,74
87143,"CSN6399","ZBAA","ZHHH","36L",17,737,730,746,"REN8AL",20140518,457,466,9,5,18,22,1,61,6,25,74
87144,"CSN6124","ZBAA","ZYTL","36R",22,730,730,742,"LAD8AR",20140518,450,462,12,5,18,14,2,61,6,20,74
87145,"CDG1195","ZBAA","ZLIC","36R",4,739,735,744,"SOS8BR",20140518,459,464,5,5,18,14,2,61,6,20,74
87146,"CSN6366","ZBAA","ZJHK","36L",22,737,735,745,"REN8AL",20140518,457,465,8,5,18,22,1,61,6,25,74
87147,"CCA1385","ZBAA","ZHXF","36L",6,728,735,742,"REN8AL",20140518,448,462,14,5,18,14,2,61,6,20,74
87148,"CCA1567","ZBAA","ZSWZ","1",2,740,740,744,"LAD8E",20140518,460,464,4,5,18,14,2,61,6,20,74
87149,"CSC8548","ZBAA","ZUUU","36R",9,728,720,741,"SOS8BR",20140518,448,461,13,5,18,14,2,61,6,20,74
87150,"CHH7155","ZBAA","ZSHC","36R",26,727,725,746,"LAD8AR",20140518,447,466,19,5,18,22,1,61,6,25,74
87151,"CCA1479","ZBAA","ZGSD","36L",3,733,725,748,"REN8AL",20140518,453,468,15,5,18,22,1,61,6,25,74
87152,"CCA1267","ZBAA","ZWHM","36R",6,730,730,747,"SOS8BR",20140518,450,467,17,5,18,22,1,61,6,25,74
87153,"CES5486","ZBAA","ZSNB","36R",22,731,1400,749,"LAD8AR",20140518,451,469,18,5,18,22,1,61,6,25,74
87154,"CCA1603","ZBAA","ZYHB","1",5,740,745,747,"YV8C",20140518,460,467,7,5,18,22,1,61,6,25,74
87155,"GDC7103","ZBAA","ZYMD","36R",24,725,725,739,"CDY8AR",20140518,445,459,14,5,18,14,2,61,6,20,74
87156,"CES2129","ZBAA","ZLLL","36L",18,719,715,724,"SOS8AL",20140518,439,444,5,5,18,14,1,61,6,20,74
87157,"UAE309","ZBAA","OMDB","36R",8,724,725,733,"SOS8BR",20140518,444,453,9,5,18,14,2,61,6,20,74
87158,"CCA1461","ZBAA","ZUGY","36R",6,723,730,729,"SOS8BR",20140518,443,449,6,5,18,14,1,61,6,20,74
87159,"CCA1133","ZBAA","ZBYC","36R",3,723,730,731,"SOS8BR",20140518,443,451,8,5,18,14,2,61,6,20,74
87160,"CCA1311","ZBAA","ZGKL","36L",5,716,715,729,"REN8AL",20140518,436,449,13,5,18,14,1,61,6,20,74
87161,"CCA1683","ZBAA","ZYDQ","1",7,727,725,733,"YV8C",20140518,447,453,6,5,18,14,2,61,6,20,74
87162,"CHH7615","ZBAA","ZSDY","36R",24,722,720,736,"LAD8AR",20140518,442,456,14,5,18,14,2,61,6,20,74
87163,"CSN6572","ZBAA","ZGOW","36R",22,722,725,735,"LAD8AR",20140518,442,455,13,5,18,14,2,61,6,20,74
87164,"CCA1901","ZBAA","ZWWW","36R",4,727,730,738,"SOS8BR",20140518,447,458,11,5,18,14,2,61,6,20,74
87165,"CCA1335","ZBAA","ZGNN","36L",3,718,720,739,"REN8AL",20140518,438,459,21,5,18,14,2,61,6,20,74
87166,"CSN6931","ZBAA","ZWWW","36L",15,733,725,741,"SOS8AL",20140518,453,461,8,5,18,14,2,61,6,20,74
87167,"CCA155","ZBAA","ZSPD","1",5,721,720,727,"LAD8E",20140518,441,447,6,5,18,14,1,61,6,20,74
87168,"CCA1283","ZBAA","ZBUL","1",3,710,715,716,"YV8C",20140518,430,436,6,5,18,14,1,61,6,20,74
87169,"CBJ5511","ZBAA","ZJHK","36L",27,710,655,718,"REN8AL",20140518,430,438,8,5,18,14,1,61,6,20,74
87170,"CBJ5375","ZBAA","ZSAM","36R",27,705,655,717,"LAD8AR",20140518,425,437,12,5,18,14,1,61,6,20,74
87171,"CDG1198","ZBAA","ZSJJ","1",7,718,715,724,"LAD8E",20140518,438,444,6,5,18,14,1,61,6,20,74
87172,"CCA1285","ZBAA","ZYCY","1",2,721,725,725,"CDY8B",20140518,441,445,4,5,18,14,1,61,6,20,74
87173,"CXA8168","ZBAA","ZSFZ","36R",14,718,655,726,"LAD8AR",20140518,438,446,8,5,18,14,1,61,6,20,74
87174,"CCA1343","ZBAA","ZGHA","36L",5,710,710,726,"REN8AL",20140518,430,446,16,5,18,14,1,61,6,20,74
87175,"CSN3183","ZBAA","ZUCK","36L",16,721,720,728,"SOS8AL",20140518,441,448,7,5,18,14,1,61,6,20,74
87176,"CCA1113","ZBAA","ZBUH","36R",2,719,720,728,"SOS8BR",20140518,439,448,9,5,18,14,1,61,6,20,74
87177,"CSC8516","ZBAA","ZUCK","36R",12,655,650,702,"SOS8BR",20140518,415,422,7,5,18,11,2,61,6,9,74
87178,"CBJ100","ZBAA","ZBXH","36R",23,653,600,704,"YV8AR",20140518,413,424,11,5,18,11,2,61,6,9,74
87179,"CBJ5371","ZBAA","ZHYC","36L",27,658,650,704,"REN8AL",20140518,418,424,6,5,18,11,2,61,6,9,74
87180,"CCA130U","ZBAA","ZGSZ","1",4,658,700,705,"REN8E",20140518,418,425,7,5,18,11,2,61,6,9,74
87181,"DKH1252","ZBAA","ZSSS","1",7,654,650,702,"LAD8E",20140518,414,422,8,5,18,11,2,61,6,9,74
87182,"CBJ5315","ZBAA","ZYJX","36R",25,656,650,707,"CDY8AR",20140518,416,427,11,5,18,11,2,61,6,9,74
87183,"CCA4194","ZBAA","ZUUU","36R",3,700,700,705,"SOS8BR",20140518,420,425,5,5,18,11,2,61,6,9,74
87184,"CSZ9967","ZBAA","ZGSZ","1",10,703,655,710,"REN8E",20140518,423,430,7,5,18,11,2,61,6,9,74
87185,"CCA1477","ZBAA","ZWWW","36R",3,706,655,712,"SOS8BR",20140518,426,432,6,5,18,11,2,61,6,9,74
87186,"CCA1119","ZBAA","ZBDT","36R",6,707,705,710,"SOS8BR",20140518,427,430,3,5,18,11,2,61,6,9,74
87187,"CXA8192","ZBAA","ZGHA","36L",14,703,650,715,"REN8AL",20140518,423,435,12,5,18,14,1,61,6,20,74
87188,"CXA8150","ZBAA","ZSHC","36R",14,657,650,700,"LAD8AR",20140518,417,420,3,5,18,11,2,61,6,9,74
