"","X.1","X","航班号","起飞机场","目的机场","rwy","ramp","pb_time","s_dep_time","a_dep_time","mission_full_date","time_pushback","time_takeoff_real","dep_taxi","mission_month","mission_date","dep_window_per15","dep_window_per60","dep_36r_in_cluster","dep_36r_per_dep","arr_36r_per_dep"
"340",340,340,"CSN613V","ZBAA","ZYTL","36R","806",917,800,940,20140224,557,580,"23",2,24,2247,562,1,27,2
"341",341,341,"CCA1367","ZBAA","ZGSZ","36R","336",930,930,942,20140224,570,582,"12",2,24,2247,562,1,27,2
"344",344,344,"CCA1321","ZBAA","ZGGG","36R","331",909,900,920,20140224,549,560,"11",2,24,2246,562,1,27,2
"345",345,345,"CSC8581","ZBAA","ZLZW","36R","556",911,905,923,20140224,551,563,"12",2,24,2246,562,1,27,2
"348",348,348,"CHH7283","ZBAA","ZYTL","36R","103",902,900,924,20140224,542,564,"22",2,24,2246,562,1,27,2
"350",350,350,"DAH3061","ZBAA","DAAG","36R","212",908,850,926,20140224,548,566,"18",2,24,2246,562,1,27,2
"351",351,351,"CSN6720","ZBAA","ZJHK","36R","612",913,905,928,20140224,553,568,"15",2,24,2246,562,1,27,2
"353",353,353,"CDG1195","ZBAA","ZLIC","36R","326",909,910,919,20140224,549,559,"10",2,24,2246,562,1,27,2
"356",356,356,"CHH7605","ZBAA","ZSSS","36R","N103",857,845,912,20140224,537,552,"15",2,24,2245,562,1,27,2
"358",358,358,"CES5164","ZBAA","ZSHC","36R","812",859,900,916,20140224,539,556,"17",2,24,2246,562,1,27,2
"360",360,360,"CCA9691","ZBAA","ZBLA","36R","553",905,855,914,20140224,545,554,"9",2,24,2245,562,1,27,2
"363",363,363,"CCA145","ZBAA","RKTN","36R","515",858,820,917,20140224,538,557,"19",2,24,2246,562,1,27,2
"367",367,367,"CCA1289","ZBAA","ZLXY","36R","330",852,855,901,20140224,532,541,"9",2,24,2245,562,1,27,2
"369",369,369,"CSC8838","ZBAA","ZUWX","36R","558",851,845,904,20140224,531,544,"13",2,24,2245,562,1,27,2
"370",370,370,"CHH7277","ZBAA","ZSHC","36R","N108",845,835,907,20140224,525,547,"22",2,24,2245,562,1,27,2
"373",373,373,"CXA8160","ZBAA","ZSZS","36R","235",846,855,906,20140224,526,546,"20",2,24,2245,562,1,27,2
"374",374,374,"MAS371","ZBAA","WMKK","36R","512",853,855,909,20140224,533,549,"16",2,24,2245,562,1,27,2
"375",375,375,"CCA4112","ZBAA","ZUUU","36R","354",900,900,911,20140224,540,551,"11",2,24,2245,562,1,27,2
"376",376,376,"CES535","ZBAA","ZSQD","36R","813",841,845,903,20140224,521,543,"22",2,24,2245,562,1,27,2
"378",378,378,"CCA1451","ZBAA","ZUMY","36R","413",836,840,852,20140224,516,532,"16",2,24,2244,561,1,30,0
"381",381,381,"CCA1293","ZBAA","ZWWW","36R","353",845,830,858,20140224,525,538,"13",2,24,2244,561,1,30,0
