"dep36l","dep36r","dep01","arr36l","arr36r","arr01"
4,12,4,13,13,17
2,4,6,16,18,6
1,2,4,22,21,0
3,5,0,15,8,0
11,0,0,9,0,0
4,0,0,4,0,0
3,0,0,6,0,0
2,0,0,10,0,0
10,12,6,5,2,1
15,31,13,1,0,0
23,28,17,3,0,6
10,20,12,15,4,15
5,18,10,19,15,17
10,17,13,15,11,19
9,23,10,16,8,20
13,23,16,13,11,17
7,19,16,14,13,17
12,17,12,15,10,16
1,22,18,16,9,14
8,19,15,15,12,20
10,20,13,14,11,17
10,27,8,12,4,17
7,20,17,21,11,18
11,17,5,8,11,17
9,8,14,19,14,16
1,1,8,19,17,8
2,3,4,22,21,0
0,5,0,8,15,0
0,7,0,0,6,0
0,4,0,0,5,0
0,4,0,0,6,0
0,3,0,0,15,0
6,17,8,2,9,3
17,31,10,5,0,4
23,25,20,4,2,10
10,21,12,17,8,15
10,23,5,16,6,20
8,18,11,15,8,21
8,21,11,18,4,22
8,23,14,13,5,19
12,20,12,18,6,21
4,16,14,18,3,16
6,13,2,7,8,16
11,5,2,1,2,7
12,15,2,16,4,18
0,0,0,1,0,3
0,0,0,0,0,0
6,12,7,8,5,12
11,27,15,21,3,20
10,14,9,20,18,6
