"dep36l","dep36r","dep01","arr36l","arr36r","arr01"
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
7,7,5,7,4,8
10,29,10,18,4,25
10,26,8,18,4,22
10,12,3,21,17,18
2,4,11,22,23,9
0,1,14,28,27,0
0,11,0,0,7,0
0,6,0,0,10,0
0,6,0,0,5,0
0,3,0,0,8,0
0,7,0,0,14,0
5,11,7,0,6,5
14,30,15,3,0,0
25,31,16,5,0,7
17,20,7,17,3,22
8,21,10,22,1,21
8,20,9,22,2,24
8,19,9,21,1,23
14,23,11,21,0,19
4,19,13,21,0,23
9,27,13,21,1,23
8,25,13,18,4,20
5,23,10,22,2,26
6,24,7,18,2,24
11,26,7,19,0,21
9,21,12,20,1,23
9,16,7,17,5,23
8,14,2,26,0,27
2,4,3,24,11,13
0,9,0,19,17,0
0,14,0,5,7,0
0,9,0,0,1,0
0,3,0,0,5,0
0,2,0,0,6,0
0,5,0,0,12,0
5,11,8,0,5,2
17,21,12,5,1,1
21,24,23,5,1,7
18,23,17,16,6,17
5,19,5,19,8,20
9,19,14,16,9,15
9,24,8,21,4,17
10,26,8,21,0,20
7,28,6,20,2,20
9,22,16,20,5,17
8,15,12,20,7,21
8,15,16,19,13,20
8,28,18,17,5,19
10,28,14,21,4,19
9,21,11,16,11,19
8,18,10,20,9,20
11,10,8,14,16,20
1,3,9,23,16,8
1,1,6,24,24,0
0,7,0,8,12,0
0,8,0,0,9,0
0,5,0,0,5,0
0,2,0,0,8,0
0,3,0,0,10,0
2,13,9,0,10,1
20,27,13,4,1,0
29,30,21,5,1,9
11,22,14,16,5,17
7,18,12,20,10,21
9,17,13,19,14,22
9,28,10,21,2,20
9,8,4,5,2,7
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
7,5,6,4,3,6
10,27,12,19,5,20
10,21,11,16,8,20
8,24,8,20,8,22
10,16,5,19,12,21
1,2,6,22,23,9
1,1,9,22,20,0
1,6,0,5,6,0
4,1,0,4,3,0
5,0,0,1,0,0
1,0,0,13,0,0
3,0,0,12,0,0
15,6,8,5,0,2
15,35,14,4,0,2
27,21,24,4,5,4
12,22,13,17,7,13
5,17,10,19,9,21
10,18,8,15,12,19
7,30,13,27,1,22
10,24,8,18,1,14
3,17,8,20,2,22
11,20,14,19,4,18
6,11,17,18,13,18
8,19,13,20,12,19
11,32,14,17,2,19
7,22,13,19,7,22
12,28,14,20,1,17
11,20,8,15,8,21
7,17,5,19,11,19
3,7,6,19,17,10
0,1,8,27,25,0
7,5,0,9,7,0
5,0,0,6,0,0
4,0,0,4,0,0
2,0,0,11,0,0
7,0,0,6,0,0
11,9,9,6,0,3
19,32,16,2,0,3
23,23,24,8,1,10
12,23,12,16,4,17
3,17,8,21,14,22
10,14,15,16,13,20
0,0,0,1,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
9,13,6,8,3,9
9,25,9,19,4,20
0,0,0,1,1,1
0,0,0,0,0,0
0,0,0,1,1,0
0,0,0,0,0,0
4,2,0,7,13,0
9,2,0,7,0,0
7,0,0,2,0,0
2,0,0,10,0,0
5,0,1,11,0,0
13,7,8,9,0,1
20,28,15,4,0,1
21,31,20,6,0,8
12,17,17,14,13,14
9,13,7,17,15,21
10,22,14,18,11,20
8,19,12,14,8,18
11,19,16,14,9,18
6,21,9,14,9,19
8,13,12,16,12,20
7,23,15,18,9,17
10,25,16,19,6,21
10,28,6,19,6,21
11,28,14,21,2,21
10,25,13,17,7,14
11,15,8,15,14,17
9,11,9,17,17,17
4,1,9,22,19,8
0,2,5,23,23,0
8,2,0,11,3,0
8,0,0,9,0,0
4,0,0,3,0,0
2,0,0,9,0,0
4,0,0,11,0,0
10,7,8,12,0,0
19,33,15,2,0,2
22,29,19,4,1,7
15,20,17,17,11,14
6,17,4,19,10,20
8,24,12,21,8,23
10,23,13,15,9,21
4,5,2,2,1,4
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
8,15,8,12,4,12
12,14,10,18,15,23
3,7,11,21,21,10
1,0,12,26,27,0
2,9,1,13,16,0
6,2,0,3,0,0
6,0,0,3,0,0
1,0,0,8,0,0
5,0,0,11,0,0
12,5,6,11,0,1
21,32,16,1,0,1
28,24,20,4,2,8
14,20,12,18,8,20
7,16,9,20,14,20
12,26,9,17,3,24
7,26,10,17,4,21
10,22,9,16,4,22
5,23,12,18,7,18
6,22,10,20,6,21
6,21,10,22,4,19
8,27,7,10,5,19
7,24,8,17,7,20
11,21,6,14,5,15
4,11,1,11,1,8
0,0,0,0,0,0
0,0,0,0,0,0
0,1,10,12,13,0
