"","x01","x18l","x18r","x19","x36l","x36r","sum_dep","y01","y18l","y18r","y19","y36l","y36r","sum_arr","sum_per60","dep_prop_01","dep_prop_36l","dep_prop_36r","dep_prop_19","dep_prop_18r","dep_prop_18l","arr_prop_01","arr_prop_36l","arr_prop_36r","arr_prop_19","arr_prop_18r","arr_prop_18l"
"118",6,0,0,0,9,15,30,19,0,0,0,18,11,48,78,0.0769230769230769,0.115384615384615,0.192307692307692,0,0,0,0.243589743589744,0.230769230769231,0.141025641025641,0,0,0
"119",6,0,0,0,8,14,28,19,0,0,0,19,13,51,79,0.0759493670886076,0.10126582278481,0.177215189873418,0,0,0,0.240506329113924,0.240506329113924,0.164556962025316,0,0,0
"120",1,0,0,0,3,4,8,9,0,0,0,17,20,46,54,0.0185185185185185,0.0555555555555556,0.0740740740740741,0,0,0,0.166666666666667,0.314814814814815,0.37037037037037,0,0,0
"121",0,0,0,0,0,3,3,0,0,0,0,23,26,49,52,0,0,0.0576923076923077,0,0,0,0,0.442307692307692,0.5,0,0,0
"122",0,0,0,0,3,9,12,0,0,0,0,4,10,14,26,0,0.115384615384615,0.346153846153846,0,0,0,0,0.153846153846154,0.384615384615385,0,0,0
"123",0,0,0,0,2,4,6,0,0,0,0,4,4,8,14,0,0.142857142857143,0.285714285714286,0,0,0,0,0.285714285714286,0.285714285714286,0,0,0
"124",0,0,0,0,1,0,1,0,0,0,0,1,3,4,5,0,0.2,0,0,0,0,0,0.2,0.6,0,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,0,0,0,0,0,0,0,0.25,0.75,0,0,0
"126",0,0,0,0,0,1,1,0,0,0,0,2,6,8,9,0,0,0.111111111111111,0,0,0,0,0.222222222222222,0.666666666666667,0,0,0
"127",6,0,0,0,7,8,21,0,0,0,0,0,6,6,27,0.222222222222222,0.259259259259259,0.296296296296296,0,0,0,0,0,0.222222222222222,0,0,0
"128",11,0,0,0,19,32,62,2,0,0,0,2,0,4,66,0.166666666666667,0.287878787878788,0.484848484848485,0,0,0,0.0303030303030303,0.0303030303030303,0,0,0,0
"129",24,0,0,0,20,32,76,5,0,0,0,4,0,9,85,0.282352941176471,0.235294117647059,0.376470588235294,0,0,0,0.0588235294117647,0.0470588235294118,0,0,0,0
"130",16,0,0,0,16,21,53,16,0,0,0,11,5,32,85,0.188235294117647,0.188235294117647,0.247058823529412,0,0,0,0.188235294117647,0.129411764705882,0.0588235294117647,0,0,0
"131",9,0,0,0,8,11,28,18,0,0,0,18,17,53,81,0.111111111111111,0.0987654320987654,0.135802469135802,0,0,0,0.222222222222222,0.222222222222222,0.209876543209877,0,0,0
"132",12,0,0,0,8,22,42,23,0,0,0,17,9,49,91,0.131868131868132,0.0879120879120879,0.241758241758242,0,0,0,0.252747252747253,0.186813186813187,0.0989010989010989,0,0,0
"133",14,0,0,0,11,32,57,20,0,0,0,16,5,41,98,0.142857142857143,0.112244897959184,0.326530612244898,0,0,0,0.204081632653061,0.163265306122449,0.0510204081632653,0,0,0
"134",12,0,0,0,12,21,45,19,0,0,0,12,9,40,85,0.141176470588235,0.141176470588235,0.247058823529412,0,0,0,0.223529411764706,0.141176470588235,0.105882352941176,0,0,0
"135",16,0,0,0,8,20,44,19,0,0,0,14,11,44,88,0.181818181818182,0.0909090909090909,0.227272727272727,0,0,0,0.215909090909091,0.159090909090909,0.125,0,0,0
"136",12,0,0,0,13,18,43,18,0,0,0,12,10,40,83,0.144578313253012,0.156626506024096,0.216867469879518,0,0,0,0.216867469879518,0.144578313253012,0.120481927710843,0,0,0
"137",16,0,0,0,5,23,44,20,0,0,0,18,9,47,91,0.175824175824176,0.0549450549450549,0.252747252747253,0,0,0,0.21978021978022,0.197802197802198,0.0989010989010989,0,0,0
"138",15,0,0,0,11,19,45,16,0,0,0,17,14,47,92,0.16304347826087,0.119565217391304,0.206521739130435,0,0,0,0.173913043478261,0.184782608695652,0.152173913043478,0,0,0
"139",12,0,0,0,10,16,38,20,0,0,0,19,14,53,91,0.131868131868132,0.10989010989011,0.175824175824176,0,0,0,0.21978021978022,0.208791208791209,0.153846153846154,0,0,0
"140",10,0,0,0,10,24,44,17,0,0,0,18,9,44,88,0.113636363636364,0.113636363636364,0.272727272727273,0,0,0,0.193181818181818,0.204545454545455,0.102272727272727,0,0,0
"141",15,0,0,0,17,24,56,17,0,0,0,16,7,40,96,0.15625,0.177083333333333,0.25,0,0,0,0.177083333333333,0.166666666666667,0.0729166666666667,0,0,0
